annual_income,spending_score,website_visits,app_sessions,avg_order_value,orders_per_month,return_rate,loyalty_years,region,membership,cluster
1427697,97,10,24,5482.17,2,0.39,8.5,North,Silver,2
568499,89,16,24,10474.9,6,0.38,3.9,East,Silver,1
1203438,97,23,25,5157.14,3,0.04,6.7,West,Silver,3
1344173,55,12,13,10115.68,3,0.1,8.7,East,Silver,1
406691,9,12,22,10082.23,0,0.35,3.6,North,Silver,2
874451,91,14,24,12156.35,7,0.01,8.3,East,Silver,1
2176013,89,21,19,1762.44,4,0.24,6.8,West,Gold,3
1526597,68,9,23,8783.79,5,0.38,5.2,West,Silver,3
1152085,73,15,20,1218.71,3,0.27,8.6,West,Gold,3
732639,79,11,13,2886.42,4,0.04,3.8,North,Silver,2
608864,16,8,25,5084.86,5,0.3,8.6,North,Silver,2
1568268,16,12,18,10698.62,3,0.15,6.6,North,Silver,2
309538,13,10,21,14616.01,3,0.37,2.9,West,Gold,3
1603717,78,7,26,5335.06,4,0.11,8.0,North,Gold,2
2491047,86,13,22,7960.82,5,0.19,10.6,South,Gold,1
1490085,85,12,20,4108.12,5,0.3,3.7,East,Silver,1
2272975,73,14,15,10229.7,2,0.1,9.7,East,Gold,1
1161984,63,12,14,5688.81,4,0.07,4.0,South,Silver,1
2247057,41,16,20,7379.46,6,0.0,9.9,North,Silver,2
1479757,53,18,18,8646.85,6,0.2,0.6,East,Silver,1
286967,68,19,24,10387.76,10,0.37,0.1,West,Silver,3
352996,74,10,23,1182.76,3,0.11,1.4,East,Gold,1
759152,99,6,15,8457.05,6,0.02,10.5,East,Silver,1
1523213,9,12,21,6638.11,5,0.25,6.4,East,Gold,1
205337,51,12,20,2266.35,5,0.02,7.1,North,Silver,2
1311857,48,11,20,3358.14,5,0.2,10.1,South,Silver,1
438913,80,19,21,13293.18,1,0.15,0.6,East,Platinum,0
1448966,49,6,29,13115.11,9,0.19,4.6,West,Gold,3
934694,18,9,17,789.95,6,0.07,7.7,East,Gold,1
1530604,10,5,14,10434.2,2,0.04,4.9,North,Silver,2
2306226,85,14,18,8446.55,2,0.3,0.4,North,Silver,2
2324059,54,11,19,14115.29,10,0.1,7.8,West,Silver,3
1467173,79,15,21,13647.68,6,0.32,4.7,East,Platinum,0
566867,15,12,20,8819.56,4,0.3,0.2,East,Silver,1
732912,11,10,21,2342.64,3,0.08,2.0,West,Gold,3
455160,40,14,16,7059.28,7,0.36,2.6,South,Platinum,0
2438679,47,15,16,10959.92,7,0.06,6.1,North,Platinum,0
1390842,20,11,13,14290.53,9,0.32,2.2,South,Platinum,0
2056630,98,10,16,5648.29,7,0.17,4.3,South,Gold,1
1168473,22,10,24,11834.67,6,0.07,9.0,East,Silver,1
273106,48,6,30,10345.11,5,0.38,9.7,West,Platinum,0
1270063,82,12,25,1450.9,5,0.39,9.5,North,Platinum,0
200617,16,16,28,8502.26,5,0.2,8.3,South,Gold,1
587529,5,11,23,2997.58,4,0.19,6.5,South,Silver,1
1355389,65,12,22,10348.17,5,0.36,6.6,East,Silver,1
1885885,83,15,22,9268.25,6,0.24,11.4,East,Silver,1
861645,74,13,28,14603.81,8,0.11,10.5,East,Silver,1
757512,21,15,19,14050.13,5,0.17,7.8,West,Gold,3
2223306,61,5,22,437.78,2,0.33,5.6,North,Gold,2
1573159,77,15,25,1476.43,3,0.34,8.7,North,Gold,2
2217547,55,7,20,11606.27,5,0.38,0.8,East,Silver,1
1875042,24,15,18,10378.95,5,0.12,11.3,South,Gold,1
1581229,23,12,16,12073.9,3,0.27,6.6,East,Platinum,0
936415,87,7,31,4222.18,5,0.03,6.0,East,Gold,1
1688909,11,11,23,12785.04,3,0.29,3.5,West,Gold,3
1495339,47,16,22,6803.57,10,0.23,0.0,East,Gold,1
1763328,2,14,20,4150.05,6,0.1,0.7,North,Gold,2
512362,70,9,14,455.93,3,0.26,3.2,East,Platinum,0
461312,53,14,18,13109.05,3,0.05,6.5,North,Silver,2
2203564,11,11,17,8169.55,7,0.13,1.0,South,Silver,1
1553308,15,23,18,14638.12,5,0.16,11.7,North,Silver,2
213302,73,5,22,10805.82,8,0.31,4.9,North,Gold,2
1697552,12,15,18,1482.13,5,0.12,3.8,East,Platinum,0
1776098,36,13,24,8946.41,8,0.02,6.3,North,Silver,2
1439273,92,10,29,551.73,6,0.07,0.8,North,Silver,2
2180319,23,11,18,8499.39,6,0.24,10.2,South,Silver,1
980638,27,8,17,5447.96,8,0.01,5.5,North,Platinum,0
1843667,88,14,20,9756.45,8,0.32,2.1,North,Silver,2
1697115,14,13,10,8261.14,6,0.36,1.9,East,Silver,1
343618,54,15,29,4141.85,5,0.2,4.3,West,Silver,3
760725,99,13,19,2686.55,3,0.28,6.9,East,Platinum,0
812277,27,16,27,6249.26,5,0.19,5.0,South,Gold,1
2147252,21,11,26,14806.49,4,0.12,7.2,East,Gold,1
1114958,49,5,16,6704.77,5,0.07,8.5,North,Silver,2
2097682,62,10,20,11307.17,3,0.21,9.0,West,Gold,3
973913,77,8,15,1137.51,4,0.37,4.8,East,Silver,1
2293508,72,8,18,5869.33,6,0.36,8.6,East,Gold,1
422202,44,11,22,8830.75,12,0.37,1.7,South,Gold,1
895361,44,9,23,11342.59,5,0.39,6.2,North,Gold,2
2323156,98,10,21,8067.24,8,0.07,0.9,East,Gold,1
2048178,61,14,25,7874.84,9,0.06,2.9,East,Silver,1
2139259,42,11,23,11529.43,5,0.17,7.0,West,Silver,3
675710,23,12,14,4905.33,6,0.28,8.9,South,Gold,1
479986,73,16,22,1631.97,6,0.18,1.1,North,Gold,2
1733403,1,10,17,5403.11,0,0.36,2.5,East,Silver,1
2103716,36,14,18,2637.24,5,0.29,11.9,West,Silver,3
1376714,55,8,21,14499.38,4,0.25,4.1,East,Gold,1
1158070,16,25,18,8789.42,2,0.03,3.4,East,Silver,1
2304888,89,14,20,6865.03,6,0.07,1.0,South,Platinum,0
1821122,18,9,28,13707.16,5,0.17,8.3,West,Gold,3
558948,98,12,18,13535.31,4,0.39,6.1,West,Gold,3
2078483,38,9,24,6410.75,6,0.13,1.9,North,Gold,2
1817375,67,12,24,13158.49,3,0.25,7.6,East,Gold,1
2151896,20,14,26,1241.18,10,0.4,6.3,West,Silver,3
2316500,19,9,16,13320.07,6,0.11,6.8,East,Silver,1
256057,13,11,23,4865.58,5,0.07,11.9,East,Gold,1
1624079,17,6,16,8607.3,6,0.22,0.3,North,Gold,2
1366191,78,14,15,4264.42,4,0.22,11.0,North,Silver,2
1179712,30,9,21,14776.55,5,0.37,10.1,West,Gold,3
618070,86,6,17,1355.17,3,0.01,5.0,East,Silver,1
1220266,43,17,25,6870.24,5,0.16,10.6,West,Silver,3
1528752,48,14,26,9428.53,4,0.12,7.8,East,Silver,1
2032110,43,8,18,9349.5,3,0.23,10.7,West,Silver,3
1408920,93,10,21,11159.75,6,0.0,7.1,West,Gold,3
569798,66,21,28,10948.91,4,0.28,2.6,East,Silver,1
1560742,53,10,21,11959.2,3,0.19,6.9,South,Silver,1
768525,72,11,18,3744.02,5,0.28,2.1,North,Gold,2
1177154,78,14,19,5746.45,4,0.18,1.7,East,Platinum,0
2237093,34,11,24,5915.89,1,0.19,7.8,West,Silver,3
1457448,77,16,18,14350.84,3,0.36,11.4,South,Gold,1
1294880,74,12,22,6316.88,5,0.08,7.1,West,Silver,3
1784683,72,16,22,3561.48,6,0.09,9.5,South,Silver,1
1255075,71,12,17,9595.46,3,0.22,2.0,East,Silver,1
1912698,13,5,22,6580.82,5,0.26,7.9,North,Gold,2
2131836,90,10,19,3976.18,3,0.14,8.8,West,Gold,3
874608,56,12,23,10812.49,7,0.21,0.5,South,Silver,1
1090781,59,8,15,3121.3,5,0.09,1.2,South,Silver,1
900304,32,16,17,9610.3,4,0.05,9.4,North,Silver,2
1627385,83,5,18,6628.8,9,0.1,5.3,West,Gold,3
1510142,79,17,22,4991.76,2,0.37,4.9,East,Gold,1
1082620,54,15,12,14205.94,2,0.32,11.0,East,Gold,1
1879806,2,16,15,5068.79,6,0.06,11.9,West,Silver,3
2310222,37,12,25,5408.36,12,0.02,9.2,North,Silver,2
1864256,83,14,16,13098.38,2,0.04,9.5,North,Silver,2
893167,97,15,25,2196.94,6,0.12,2.5,North,Silver,2
2301778,33,14,13,1888.61,3,0.32,2.3,South,Silver,1
1297846,1,9,17,4455.8,6,0.13,11.8,South,Platinum,0
2096513,28,6,20,8997.05,9,0.07,8.3,North,Gold,2
2299444,17,9,15,5949.21,4,0.16,8.2,West,Gold,3
578936,57,10,15,9245.75,5,0.05,3.4,East,Silver,1
1001291,70,14,17,2648.33,5,0.19,10.6,South,Silver,1
623801,52,11,22,4143.33,2,0.27,0.5,North,Silver,2
2248423,44,14,24,8607.89,4,0.15,3.3,South,Silver,1
1883850,84,7,20,3492.09,7,0.07,2.2,South,Silver,1
1230593,47,10,25,6515.23,5,0.18,8.5,North,Platinum,0
1720569,13,14,21,8717.92,5,0.3,8.6,West,Gold,3
2442371,76,9,23,14612.67,6,0.03,6.4,East,Silver,1
940712,30,10,19,1474.33,5,0.03,0.1,West,Silver,3
446522,85,14,17,7068.09,3,0.13,10.5,South,Silver,1
2438997,66,11,21,6125.18,5,0.17,11.5,West,Silver,3
873241,53,16,22,12416.35,6,0.09,2.4,West,Platinum,0
259593,18,9,19,13534.37,5,0.01,10.1,East,Gold,1
2453779,28,10,22,13633.09,5,0.09,11.7,North,Silver,2
503565,4,11,26,5814.55,9,0.17,3.9,North,Silver,2
1858336,42,15,20,4778.43,6,0.03,2.2,North,Silver,2
358404,6,13,22,6902.32,4,0.29,11.7,West,Gold,3
506732,9,11,22,5356.6,5,0.22,0.7,West,Silver,3
1339067,20,12,19,10867.11,7,0.17,3.3,East,Silver,1
2383568,94,12,15,3439.49,6,0.21,8.9,North,Gold,2
1556878,38,6,12,9982.66,6,0.26,7.4,East,Silver,1
2212545,68,11,16,13926.72,4,0.4,8.2,East,Gold,1
2083089,50,14,21,4414.73,6,0.31,8.5,West,Silver,3
2223066,60,17,23,10250.29,5,0.22,8.2,North,Silver,2
2365638,13,8,28,2410.35,7,0.31,4.1,South,Silver,1
384764,99,7,27,2084.34,7,0.19,3.7,South,Silver,1
2082163,94,11,20,1999.97,2,0.12,5.1,West,Silver,3
541885,42,15,24,2336.36,9,0.1,9.7,West,Platinum,0
1113736,68,7,21,3477.62,7,0.16,11.3,West,Silver,3
881867,25,18,18,8573.61,6,0.0,5.5,West,Silver,3
207661,31,13,22,11574.69,4,0.07,1.0,South,Gold,1
367261,12,10,22,2164.8,5,0.05,11.3,North,Silver,2
1479942,64,14,15,13089.22,3,0.38,1.0,East,Silver,1
1392139,79,13,15,12687.93,3,0.03,1.9,South,Platinum,0
2068418,61,8,22,10992.6,8,0.2,10.4,North,Silver,2
393101,53,9,28,6561.7,4,0.37,6.6,West,Platinum,0
206504,26,10,17,322.89,5,0.24,4.2,East,Platinum,0
1604681,61,9,15,11101.04,6,0.2,11.2,North,Platinum,0
1166710,10,11,23,13221.1,4,0.3,11.5,North,Silver,2
1212786,12,8,28,5228.71,4,0.14,4.0,East,Silver,1
2000445,22,15,15,10854.42,4,0.08,10.4,North,Gold,2
350362,53,12,23,1212.1,4,0.34,8.1,North,Silver,2
1745152,21,6,21,10729.57,6,0.02,3.3,East,Gold,1
2037280,35,16,23,1304.14,4,0.32,11.3,East,Gold,1
337213,71,18,21,8931.64,5,0.04,0.8,South,Platinum,0
527124,82,12,25,9084.03,5,0.25,3.8,West,Silver,3
1061129,27,11,12,4741.7,7,0.19,4.8,West,Silver,3
348192,60,14,24,1463.1,2,0.4,8.3,North,Silver,2
291477,99,12,34,14255.22,2,0.16,0.5,West,Silver,3
2100771,47,17,17,8172.99,6,0.38,10.7,South,Silver,1
837934,66,12,22,8822.44,4,0.16,7.9,North,Gold,2
385935,96,13,25,9340.81,5,0.27,3.3,West,Gold,3
2221388,15,9,17,13398.4,2,0.26,7.9,West,Platinum,0
482098,24,9,20,1185.76,3,0.03,6.4,North,Silver,2
585468,84,15,22,13431.33,5,0.3,4.0,East,Gold,1
2141305,10,13,25,3823.24,7,0.08,0.3,South,Gold,1
1064853,88,20,25,1445.87,6,0.16,6.6,North,Platinum,0
398812,24,5,21,9961.81,8,0.31,1.0,North,Platinum,0
2283471,88,15,14,14661.54,2,0.38,9.7,West,Silver,3
801518,57,14,20,1141.46,4,0.22,1.1,East,Platinum,0
1419990,34,21,22,6563.99,6,0.21,5.1,West,Silver,3
1651165,41,9,17,8087.83,7,0.2,5.2,North,Platinum,0
1522168,40,11,15,4006.15,4,0.33,6.7,North,Gold,2
1167453,11,8,18,14748.22,7,0.4,0.5,West,Silver,3
2459434,90,8,21,9722.16,6,0.25,2.4,East,Platinum,0
618626,1,16,21,12711.95,10,0.15,2.4,North,Silver,2
1146532,30,10,15,6411.93,9,0.09,7.2,South,Platinum,0
2496524,43,15,17,5503.15,4,0.08,3.2,East,Gold,1
2492959,82,8,19,8431.42,4,0.34,1.7,North,Gold,2
2153380,26,14,15,6698.59,2,0.4,0.2,East,Silver,1
1387847,53,8,21,10809.74,6,0.28,10.1,East,Silver,1
227095,47,13,21,4207.53,3,0.38,11.7,South,Platinum,0
2033633,9,18,16,6908.99,8,0.14,8.4,North,Silver,2
1367138,9,13,18,13458.45,5,0.25,5.0,East,Gold,1
1186369,1,14,19,11414.79,3,0.2,1.5,North,Gold,2
296729,71,7,20,2770.63,6,0.19,5.7,North,Gold,2
386293,44,11,24,13336.91,2,0.25,5.5,East,Gold,1
2368272,59,13,27,8958.54,7,0.12,5.0,West,Silver,3
1077232,56,15,26,10285.52,3,0.26,4.5,East,Silver,1
1323201,51,10,14,4625.57,4,0.27,6.0,West,Gold,3
2452909,16,11,13,6790.7,4,0.33,0.9,West,Platinum,0
789704,38,12,22,12160.14,12,0.29,0.5,West,Gold,3
1872328,11,8,23,5160.94,5,0.13,0.8,West,Silver,3
2218842,25,8,22,2726.41,6,0.18,2.4,East,Platinum,0
829923,93,19,17,5861.08,2,0.05,3.3,West,Gold,3
1692947,83,12,20,1317.51,8,0.1,2.0,North,Gold,2
1905463,82,14,21,10852.49,10,0.21,3.0,East,Gold,1
616918,59,19,18,2471.86,1,0.04,2.2,South,Gold,1
570553,29,10,24,4491.35,2,0.23,1.8,West,Gold,3
2031157,80,10,22,13251.89,4,0.16,3.5,East,Gold,1
1001637,40,18,14,8245.32,8,0.01,4.8,West,Silver,3
1239426,8,17,23,5023.68,5,0.17,8.9,North,Gold,2
975217,98,9,13,8350.7,5,0.11,11.5,West,Silver,3
522351,6,12,19,3508.68,3,0.03,11.0,East,Gold,1
745282,45,17,17,670.05,6,0.12,5.7,North,Silver,2
689697,53,12,19,9174.87,5,0.12,5.5,West,Silver,3
454457,94,11,26,10797.65,8,0.14,1.5,South,Gold,1
286170,98,12,19,13232.79,4,0.15,11.7,West,Silver,3
2327721,21,16,19,11646.69,3,0.17,9.1,West,Gold,3
2130719,57,11,19,13922.16,4,0.04,10.2,North,Silver,2
1359278,76,13,14,14793.52,3,0.0,2.8,West,Silver,3
468770,6,12,22,11250.55,2,0.29,4.8,East,Silver,1
728252,63,12,19,13058.47,1,0.13,1.2,East,Gold,1
1623514,6,17,16,10203.85,4,0.25,11.3,North,Silver,2
480202,53,11,21,2812.79,8,0.12,3.4,East,Silver,1
366232,4,4,24,2971.03,5,0.39,7.2,South,Silver,1
2444486,9,15,15,1920.81,3,0.13,1.8,West,Silver,3
693441,69,11,27,14161.73,3,0.24,9.6,North,Platinum,0
1594467,74,11,25,10189.45,6,0.09,2.2,East,Gold,1
538371,72,17,24,11911.67,5,0.21,9.7,South,Silver,1
1017495,87,13,25,5168.01,1,0.23,4.8,South,Silver,1
2121788,4,13,21,7068.2,5,0.07,6.9,North,Silver,2
1154040,58,10,28,884.76,2,0.05,3.2,North,Gold,2
2267091,37,13,26,13368.41,4,0.39,10.6,East,Silver,1
1540804,71,10,12,12839.15,8,0.36,9.1,West,Gold,3
2021981,6,10,20,11836.73,1,0.26,4.3,South,Gold,1
781300,51,13,19,1157.04,7,0.34,7.0,South,Silver,1
838898,79,16,18,2861.47,6,0.04,1.5,North,Gold,2
1662406,99,12,15,5212.31,1,0.29,1.9,South,Silver,1
1712361,50,13,21,4167.02,5,0.11,6.4,North,Silver,2
408758,96,7,24,12625.36,10,0.22,7.7,West,Silver,3
1256733,14,7,22,3164.09,7,0.31,6.7,North,Silver,2
1229921,99,10,22,8122.23,6,0.01,6.7,West,Gold,3
773030,11,19,19,8699.3,6,0.28,8.9,East,Gold,1
1475592,10,7,18,6547.67,4,0.17,10.8,North,Platinum,0
2053259,61,17,29,3838.11,6,0.18,4.7,East,Gold,1
223349,81,15,17,14416.33,5,0.36,6.4,West,Silver,3
329417,13,13,7,6376.97,4,0.34,10.7,South,Silver,1
511322,34,11,18,10991.46,8,0.02,5.6,East,Gold,1
2015081,60,9,24,3005.48,7,0.25,5.3,North,Silver,2
405732,51,12,25,12395.32,3,0.17,9.2,North,Silver,2
287687,5,11,22,3473.61,10,0.05,10.5,East,Silver,1
263196,74,14,18,10227.01,4,0.34,8.9,East,Silver,1
708370,32,13,21,7745.49,4,0.03,1.2,East,Silver,1
232400,12,8,23,2454.39,7,0.01,5.6,North,Silver,2
715593,52,10,20,666.75,5,0.08,2.5,East,Silver,1
475680,13,16,21,13982.0,5,0.12,3.8,East,Silver,1
595916,85,18,29,2147.65,5,0.02,5.6,West,Gold,3
1191849,54,7,24,10662.79,2,0.26,2.7,East,Gold,1
2181195,97,15,22,9894.47,3,0.17,6.2,East,Gold,1
1468374,54,9,12,5323.28,4,0.16,7.7,North,Silver,2
1663232,41,10,27,3025.13,2,0.06,10.5,North,Gold,2
757235,48,8,16,2921.43,2,0.18,2.5,South,Silver,1
535676,51,17,22,8904.32,4,0.16,3.7,North,Platinum,0
542542,47,11,31,8339.74,1,0.15,4.9,North,Gold,2
1635110,50,19,18,13176.24,1,0.09,2.7,North,Silver,2
703311,96,7,24,9708.05,5,0.04,4.0,North,Silver,2
2124393,76,11,18,12343.34,3,0.1,10.6,East,Gold,1
978161,46,15,24,776.47,3,0.27,1.7,South,Silver,1
707432,99,15,17,10163.6,5,0.03,5.3,North,Silver,2
868284,100,14,29,3735.52,4,0.15,3.7,East,Silver,1
2044223,38,15,24,4016.73,3,0.21,0.9,North,Silver,2
1494487,92,14,22,10892.47,0,0.39,1.2,South,Silver,1
2197992,13,7,19,11963.46,7,0.34,9.4,West,Silver,3
1502776,76,15,17,5764.51,6,0.37,10.2,West,Gold,3
630518,22,11,19,11914.13,5,0.33,8.9,South,Silver,1
430096,2,8,28,6823.05,5,0.24,6.5,East,Gold,1
497597,93,11,25,12907.39,4,0.34,9.3,East,Gold,1
2106450,77,18,15,666.09,7,0.23,1.8,South,Silver,1
364379,99,9,16,1527.38,8,0.14,9.4,West,Platinum,0
1337542,13,18,12,11712.37,3,0.15,5.1,North,Gold,2
620991,57,10,24,9474.12,4,0.23,9.0,West,Silver,3
1681821,34,14,27,8517.6,6,0.32,2.7,North,Gold,2
920143,19,11,19,9325.49,4,0.05,10.0,South,Platinum,0
454435,9,15,17,13973.8,5,0.02,6.8,South,Platinum,0
241988,95,15,17,9936.39,6,0.32,0.1,South,Gold,1
648668,33,18,25,9817.9,2,0.26,6.2,West,Gold,3
1903987,27,11,24,11464.22,11,0.33,3.7,South,Silver,1
1011250,45,9,18,13039.32,5,0.39,0.7,West,Platinum,0
1643478,2,9,17,4150.11,5,0.1,5.4,East,Silver,1
308336,79,13,20,9366.21,5,0.08,3.7,North,Silver,2
2043492,83,15,14,8884.43,3,0.14,2.5,North,Platinum,0
794399,57,16,23,2282.29,4,0.35,4.2,North,Silver,2
723931,95,3,23,7948.66,8,0.01,2.2,South,Gold,1
1859356,57,14,17,1322.39,6,0.0,3.6,North,Silver,2
851288,16,12,21,3018.91,6,0.09,1.4,South,Gold,1
1324782,79,19,16,13720.56,7,0.15,1.0,West,Silver,3
1723674,6,17,26,2052.87,5,0.12,10.9,South,Gold,1
816764,14,12,17,8810.07,8,0.33,10.8,North,Silver,2
298941,27,13,21,5055.17,5,0.28,9.9,South,Silver,1
1039532,38,13,21,8463.11,2,0.34,2.8,South,Gold,1
323569,19,13,23,3754.11,1,0.15,8.7,West,Silver,3
1130135,37,10,17,6832.38,6,0.24,7.1,South,Silver,1
2306055,4,14,21,13049.8,8,0.21,0.6,North,Silver,2
2127730,58,9,16,5830.39,6,0.19,10.8,South,Silver,1
2374413,90,12,21,5489.55,4,0.12,12.0,East,Gold,1
281604,9,8,16,6857.94,6,0.28,8.5,South,Silver,1
915796,40,13,20,1777.24,4,0.21,2.8,East,Silver,1
2322595,15,15,22,5994.0,2,0.03,6.7,North,Silver,2
1363731,4,13,29,401.43,2,0.0,1.3,East,Platinum,0
2427712,90,9,23,7699.94,2,0.01,3.6,East,Gold,1
1745679,52,10,19,12764.73,7,0.03,8.6,East,Gold,1
